NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
José Antonio Rivero González Jr,persona,Autlán Holding SAPI de CV,boardmember
José Antonio Rivero Larrea,persona,Autlán Holding SAPI de CV,boardmember
Kevin O&Kane ,persona,Autlán Holding SAPI de CV,boardmember
María Guadalupe González,persona,Autlán Holding SAPI de CV,boardmember
María Rivero González,persona,Autlán Holding SAPI de CV,boardmember
Oscar Maldonado Charles,persona,Autlán Holding SAPI de CV,boardmember
Pedro Alberto Reynoso Jr,persona,Autlán Holding SAPI de CV,boardmember
Pedro Rivero González,persona,Autlán Holding SAPI de CV,boardmember
Ricardo Sada Villarreal,persona,Autlán Holding SAPI de CV,boardmember
Acadian Asset Management LLC,empresa,Compañía Minera Autlán SAB de CV,shareholder
Dimensional Fund Advisors LP,empresa,Compañía Minera Autlán SAB de CV,shareholder
Operadora de Fondos Banorte Ixe S.A. de C.V.,empresa,Compañía Minera Autlán SAB de CV,shareholder
SEI Investments Co.,empresa,Compañía Minera Autlán SAB de CV,shareholder
"SFM Holding, SAPI DE CV",empresa,Compañía Minera Autlán SAB de CV,shareholder
Materias Primas Minerales de Ahuazotepec S de RL de CV,empresa,,
Covia Holdings LLC,empresa,Materias Primas Minerales de Ahuazotepec S de RL de CV,parent
Columbia Management Investment Advisers LLC,empresa,Covia Holdings LLC,shareholder
Fort Washington Investment Advisors INC,empresa,Covia Holdings LLC,shareholder
Neuberger Berman Investment Advisers LLC,empresa,Covia Holdings LLC,shareholder
Newfleet Asset Management LLC,empresa,Covia Holdings LLC,shareholder
Saba Capital Management LP,empresa,Covia Holdings LLC,shareholder
Voya Investment Management LLC,empresa,Covia Holdings LLC,shareholder
Andrew Eich ,persona,Covia Holdings LLC,boardmember
J Donald Sheets ,persona,Covia Holdings LLC,boardmember
Paul Gordon ,persona,Covia Holdings LLC,boardmember
Phil Barkhorn ,persona,Covia Holdings LLC,boardmember
Robert Kirby ,persona,Covia Holdings LLC,boardmember
Shawn Williams,persona,Covia Holdings LLC,boardmember
William Wang ,persona,Covia Holdings LLC,boardmember
Feldmex SA de CV,empresa,,
Adolfo González Garrido,persona,Feldmex SA de CV,shareholder
José Vicente Etelberto González Cazares,persona,Feldmex SA de CV,shareholder
Ludivina Orta Torres,persona,Feldmex SA de CV,shareholder
Mexican Silicates SA de CV,empresa,Feldmex SA de CV,parent
Adolfo González Garrido,persona,Feldmex SA de CV,boardmember
Carlos González Garrido,persona,Feldmex SA de CV,boardmember
Simone Amico,persona,Feldmex SA de CV,boardmember
Deselec 1 S de RL de CV,empresa,,
Corporación Mexicana De Hidroelectricidad SA De CV,empresa,Deselec 1 S de RL de CV,parent
Enel SpA,empresa,Corporación Mexicana De Hidroelectricidad SA De CV,parent
Amundi Asset Management SAS,empresa,Enel SpA,shareholder
BlackRock Inc.,empresa,Enel SpA,shareholder
Capital Research & Mgmt Co.,empresa,Enel SpA,shareholder
Ministero dell'Economia e delle Finanze,gobierno,Enel SpA,shareholder
Norges Bank Investment Management,gobierno,Enel SpA,shareholder
Vanguard Group Inc.,empresa,Enel SpA,shareholder
Carlos Jinich Ripstein,persona,Corporación Mexicana De Hidroelectricidad SA De CV,boardmember
Jacobo Mekler Waisburd,persona,Corporación Mexicana De Hidroelectricidad SA De CV,boardmember
Solomón Camhaji Samra,persona,Corporación Mexicana De Hidroelectricidad SA De CV,boardmember
Ecominerali Mexicana SA de CV,empresa,,
Mexican Silicates SA de CV,empresa,,
Gruppo Minerali Maffie SpA,empresa,Ecominerali Mexicana SA de CV,parent
Gruppo Minerali Maffie SpA,empresa,Mexican Silicates SA de CV,parent
Iniziative Minerarie SRL,empresa,Gruppo Minerali Maffie SpA,shareholder
Pavim SRL,empresa,Gruppo Minerali Maffie SpA,shareholder
Andrea Bettini,persona,Gruppo Minerali Maffie SpA,boardmember
Giuliano Colavito,persona,Gruppo Minerali Maffie SpA,boardmember
Marco Bargioni,persona,Gruppo Minerali Maffie SpA,boardmember
Paolo Danasino,persona,Gruppo Minerali Maffie SpA,boardmember
Pier Camillo Baù,persona,Gruppo Minerali Maffie SpA,boardmember
Pierangelo Stangalino,persona,Gruppo Minerali Maffie SpA,boardmember
Sabrina Bozzola,persona,Gruppo Minerali Maffie SpA,boardmember
Stefano Tronconi,persona,Gruppo Minerali Maffie SpA,boardmember
Vera Ramon,persona,Gruppo Minerali Maffie SpA,boardmember
Neoen SA,empresa,,
Impala SAS,empresa,Neoen SA,parent
La familia Veyrat,empresa,Impala SAS,shareholder
Aurélien Tignoles,persona,Impala SAS,boardmember
Erick Lauro ,persona,Impala SAS,boardmember
Fabrice Dumonteil,persona,Impala SAS,boardmember
Jaques Veyrat,persona,Impala SAS,boardmember
Simon Veyrat,persona,Impala SAS,boardmember
Stéphanie Levan,persona,Impala SAS,boardmember
Vincent Revoles,persona,Impala SAS,boardmember
Xavier Barbaro,persona,Impala SAS,boardmember
ENR NL SA de CV,empresa,,
Neoen SA,empresa,ENR NL SA de CV,parent
Amundi Asset Management SAS,empresa,Neoen SA,shareholder
